stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url
214,214,Menlo Park Cal Train Sop,37.454544,-122.182332,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=214
215,215,SMP,37.458893,-122.175405,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=215
216,216,Palo Alto Transit Center Bus Depot,37.444115,-122.166435,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=216
217,217,El Camino Real @ Palo Alto Square,37.422582,-122.141474,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=217
218,218,El Camino REal @ Page Mill Park and Ride,37.423427,-122.142365,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=218
219,219,El Camino Real @ Hansen Way and Frys,37.420571,-122.137604,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=219
220,220,El Camino Real @ Portage Ave. Frys,37.421162,-122.138125,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=220
221,221,El Camino Real @ Maybell Ave,37.412124,-122.124914,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=221
222,222,El Camion Real @ El Camino Way,37.412509,-122.1248,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=222
223,223,California St @ San Antonio Shopping Cen,37.405004,-122.108985,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=223
224,124,Showers Dr @ San Antonio Shopping Cen,37.401294,-122.108099,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=124
225,224,Panama @ Via Ortega,37.427581,-122.176485,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=224
227,226,Panama St @ Campus Dr,37.430676,-122.178398,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=226
228,227,Roth Way @ Lokey,37.432263,-122.172972,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=227
229,228,Welch Rd @ Quarry Rd,37.436944,-122.172845,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=228
230,229,SearsVille Rd @ Fremont Rd,37.428731,-122.183352,http://fops-cf.stanford.edu/stanford_ivl/stopDepartures.cfm?stopid=229
